business_id,rating,review_text,date
BUS_0001,5,Top class facilities and very hygienic post-COVID setup. Strongly recommended.,2025-07-11
BUS_0001,4,"Spacious gym floor. Wish they had more benches, but overall a solid experience.",2025-06-07
BUS_0001,5,Top class facilities and very hygienic post-COVID setup. Strongly recommended.,2025-01-14
BUS_0001,5,"Great trainers, modern equipment, very clean gym. Best gym in the area!",2024-09-26
BUS_0001,4,Decent gym with polite staff. Parking can sometimes be an issue.,2025-03-05
BUS_0001,5,"Great trainers, modern equipment, very clean gym. Best gym in the area!",2025-01-18
BUS_0001,5,"Vritti: Excellent workout atmosphere, trainers are very helpful. Clean changing rooms.",2025-02-02
BUS_0001,5,"Great trainers, modern equipment, very clean gym. Best gym in the area!",2024-08-30
BUS_0001,4,Nice trainers and good environment. The monthly subscription is worth the price.,2025-04-15
BUS_0001,5,"Banjeet: Excellent workout atmosphere, trainers are very helpful. Clean changing rooms.",2025-05-18
BUS_0001,5,"Ekaja: Great trainers, modern equipment, very clean gym. Best gym in the area!",2025-06-04
BUS_0001,5,Top class facilities and very hygienic post-COVID setup. Strongly recommended.,2024-12-28
BUS_0001,5,"Excellent workout atmosphere, trainers are very helpful. Clean changing rooms.",2025-06-12
BUS_0001,5,Fully equipped with the latest machines. The personal trainers really know their stuff.,2025-06-23
BUS_0001,5,"Great trainers, modern equipment, very clean gym. Best gym in the area!",2024-09-16
BUS_0001,3,Vyanjana: A bit crowded. The staff is polite but the locker facility is average.,2025-01-30
BUS_0001,5,"Great trainers, modern equipment, very clean gym. Best gym in the area!",2025-06-07
BUS_0001,5,"Great trainers, modern equipment, very clean gym. Best gym in the area!",2025-03-06
BUS_0001,4,Nidra: Nice trainers and good environment. The monthly subscription is worth the price.,2025-04-02
BUS_0001,4,Satisfied with the hygiene and trainer support. Good value for money.,2025-07-01
BUS_0001,5,Vincent: Top class facilities and very hygienic post-COVID setup. Strongly recommended.,2024-09-11
BUS_0001,5,"Great trainers, modern equipment, very clean gym. Best gym in the area!",2024-07-24
BUS_0001,5,"Excellent workout atmosphere, trainers are very helpful. Clean changing rooms.",2025-01-08
BUS_0002,4,Chatresh: Good salon experience. Make sure to book an appointment as weekends are packed.,2025-03-31
BUS_0002,5,"Clean salon, relaxing ambiance. Loved the facial and manicure. Will visit again!",2024-11-08
BUS_0002,5,"Aarav: Clean salon, relaxing ambiance. Loved the facial and manicure. Will visit again!",2024-08-24
BUS_0002,4,"Unnati: Nice haircuts. The waiting area is comfortable, and they offer green tea.",2025-05-20
BUS_0002,5,Aarush: Great service at reasonable rates. They use premium products. Highly recommended.,2025-03-11
BUS_0002,4,Satisfactory hygiene levels. Staff is helpful in suggesting the right treatment.,2025-02-17
BUS_0002,5,Awesome hair spa session by Rajesh. Very polite staff and neat services.,2024-12-05
BUS_0002,5,Excellent bridal makeup and hair styling. The staff is highly professional.,2024-07-25
BUS_0002,5,Triya: Perfect styling every single time. Rajesh is a master barber!,2025-07-10
BUS_0002,5,Great service at reasonable rates. They use premium products. Highly recommended.,2025-01-04
BUS_0002,5,Perfect styling every single time. Rajesh is a master barber!,2025-07-02
BUS_0002,4,Very good salon. Polite staff and quick service. A bit pricey but good quality.,2024-11-06
BUS_0002,4,Modern setup and skilled staff. The hair color came out exactly as expected.,2024-07-31
BUS_0002,5,"Megha: Clean salon, relaxing ambiance. Loved the facial and manicure. Will visit again!",2025-05-27
